,Unnamed: 0,Start_Date,End_date,Specalist_Name,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Rating of the overall Support,Ability to communicate clearly,Knowledge of SP-API products & Services,Merchant_Token,Comments,LocationLatitude,LocationLongitude,LocationAccuracy,SPOC,Key
71,2,2022-09-11 01:06:22,2022-09-11 01:06:55,,,,,1,0,5- Excellent,5- Excellent,5- Excellent,A1Z8D3XI5286X3,Very knowledgeable and helpful,47.6859,-122.2994,-1,HIMANSHU DHAMI,A1Z8D3XI5286X3HIMANSHU DHAMI
72,3,2022-11-07 10:51:20,2022-11-07 10:52:52,,,,,1,0,5- Excellent,5- Excellent,5- Excellent,A1U46CGF6HFM4X,,39.288,-1.4654,-1,HIMANSHU DHAMI,A1U46CGF6HFM4XHIMANSHU DHAMI
73,4,2022-11-17 12:04:27,2022-11-17 12:06:18,,,,,1,0,5- Excellent,5- Excellent,5- Excellent,A2OPRI5SBQKA3Y,"Dhami is willing to help to solve my problem, thank you.",40.7992,29.4305,-1,HIMANSHU DHAMI,A2OPRI5SBQKA3YHIMANSHU DHAMI
